slug,coach,coach_id,ending,total_games,total_wins,total_losses,start_rating,end_rating,improvement,top,bottom,middle,last_improvement
atkinke01c|16|17|NJNBRK,Kenny Atkinson,atkinke01c,,109.0,31.0,78.0,1341.24596491,1421.80514415,80.55917924,1433.62805924,1248.6584739,1324.57768403,20.84722271
silaspa01c|00|03|NORLHP,Paul Silas,silaspa01c,fired,246.0,137.0,109.0,1570.7832,1568.9481,-1.8351,1630.8579,1468.8949,1541.88425,15.3375
floydti99c|03|04|NORLHP,Tim Floyd,floydti99c,fired,82.0,41.0,41.0,1545.1353,1477.701,-67.4343,1594.0529,1442.6393,1510.4193,-67.4343
scottby01c|04|09|NORLHP,Byron Scott,scottby01c,fired,419.0,203.0,216.0,1475.4724,1469.4171,-6.0553,1667.1848,1320.1824,1475.2659,-8.5252
bowerje99c|09|10|NORLHP,Jeff Bower,bowerje99c,interim only,73.0,34.0,39.0,1461.8456,1427.8156,-34.03,1516.2557,1404.2769,1468.0707,-34.03
willimo01c|10|15|NORLHP,Monty Williams,willimo01c,fired,394.0,173.0,221.0,1453.2205,1539.7662,86.5457,1615.903,1363.3163,1459.6096,76.4122
gentral99c|15|17|NORLHP,Alvin Gentry,gentral99c,,193.0,79.0,114.0,1518.14613669,1501.22689227,-16.91924442,1524.16714571,1354.76501658,1451.9930351,20.87696492
vanguje99c|00|01|NYK,Jeff Van Gundy,vanguje99c,resigned,101.0,58.0,43.0,1525.9358,1497.7788,-28.157,1595.0752,1452.6195,1537.2903,-16.0519
chanedo01c|01|04|NYK,Don Chaney,chanedo01c,fired,184.0,72.0,112.0,1501.0225,1436.6006,-64.4219,1501.0225,1374.7441,1437.315,-30.7722
willihe01c|04|04|NYK,Herb Williams,willihe01c,interim only,1.0,1.0,0.0,1441.8997,1441.8997,0.0,1441.8997,1441.8997,1441.8997,0.0
wilkele01c|04|05|NYK,Lenny Wilkens,wilkele01c,resigned,81.0,40.0,41.0,1456.5049,1415.6844,-40.8205,1505.0979,1415.6844,1456.5049,-37.4726
willihe01c|05|05|NYK,Herb Williams,willihe01c,interim only,43.0,16.0,27.0,1406.2278,1406.8248,0.597,1467.5199,1382.3451,1409.8184,0.597
brownla01c|05|06|NYK,Larry Brown,brownla01c,fired,82.0,23.0,59.0,1425.4862,1320.8722,-104.614,1433.7301,1285.9266,1359.92435,-104.614
thomais01c|06|08|NYK,Isiah Thomas,thomais01c,fired,164.0,56.0,108.0,1375.634,1310.9265,-64.7075,1457.1309,1281.6595,1391.3635,-107.1333
dantomi01c|08|12|NYK,Mike D'Antoni,dantomi01c,resigned,288.0,121.0,167.0,1363.3666,1466.1488,102.7822,1552.0238,1327.4937,1433.99195,-21.4302
woodsmi01c|12|14|NYK,Mike Woodson,woodsmi01c,fired,188.0,109.0,79.0,1488.4374,1544.2559,55.8185,1644.5215,1406.4829,1540.1287,-37.8774
fishede01c|14|16|NYK,Derek Fisher,fishede01c,fired,136.0,40.0,96.0,1509.5001,1397.35501959,-112.14508041,1521.5439,1242.407,1374.35616688,41.35731088
rambiku01c|16|16|NYK,Kurt Rambis,rambiku01c,interim only,28.0,9.0,19.0,1391.02970527,1384.39446646,-6.63523881,1412.02027381,1364.5920331,1391.71248771,-6.63523881
hornaje01c|16|17|NYK,Jeff Hornacek,hornaje01c,,110.0,46.0,64.0,1411.26358868,1467.49472554,56.23113686,1470.92751489,1371.61480619,1428.83273618,67.39495136
riverdo01c|00|03|ORL,Doc Rivers,riverdo01c,fired,257.0,130.0,127.0,1522.677,1404.3136,-118.3634,1568.0956,1404.3136,1511.3899,-94.5692
davisjo01c|03|05|ORL,Johnny Davis,davisjo01c,fired,135.0,51.0,84.0,1400.9385,1411.2944,10.3559,1471.8455,1266.4756,1390.301,62.0841
jentch01c|05|05|ORL,Chris Jent,jentch01c,interim only,18.0,5.0,13.0,1408.808,1358.517,-50.291,1418.2969,1352.3406,1383.2316,-50.291
hillbr99c|05|07|ORL,Brian Hill,hillbr99c,fired,164.0,76.0,88.0,1385.1106,1520.4855,135.3749,1569.2557,1368.6105,1457.87815,0.9622
vangust99c|07|12|ORL,Stan Van Gundy,vangust99c,fired,394.0,259.0,135.0,1503.2628,1494.8663,-8.3965,1721.8114,1485.5931,1623.5188,-82.6139
vaughja01c|12|15|ORL,Jacque Vaughn,vaughja01c,fired,216.0,58.0,158.0,1489.8534,1303.9515,-185.9019,1502.9133,1249.3088,1343.557,-49.3395
borreja99c|15|15|ORL,James Borrego,borreja99c,interim only,30.0,10.0,20.0,1310.5586,1311.8915,1.3329,1328.9524,1285.8441,1311.4905,1.3329
skilesc01c|15|16|ORL,Scott Skiles,skilesc01c,resigned,82.0,35.0,47.0,1357.1744804,1437.10546621,79.93098581,1491.96407088,1352.20922216,1419.05781596,79.93098581
vogelfr99c|16|17|ORL,Frank Vogel,vogelfr99c,,111.0,40.0,71.0,1443.29036315,1387.80937265,-55.4809905,1495.19120891,1345.6184019,1410.82724809,-12.85426932
brownla01c|00|03|PHI,Larry Brown,brownla01c,resigned,246.0,147.0,99.0,1591.9641,1576.5634,-15.4007,1659.3602,1476.7816,1565.7651,68.9568
ayersra99c|03|04|PHI,Randy Ayers,ayersra99c,fired,52.0,21.0,31.0,1565.9512,1410.6035,-155.3477,1565.9512,1410.6035,1501.2619,-155.3477
fordch01c|04|04|PHI,Chris Ford,fordch01c,interim only,30.0,12.0,18.0,1422.7747,1399.684,-23.0907,1445.9119,1399.684,1422.82975,-23.0907
obrieji99c|04|05|PHI,Jim O'Brien,obrieji99c,fired,82.0,43.0,39.0,1434.0282,1500.2852,66.257,1501.7698,1394.0254,1460.7247,66.257
cheekma01c|05|08|PHI,Maurice Cheeks,cheekma01c,fired,269.0,122.0,147.0,1477.0358,1455.7488,-21.287,1565.3096,1368.7107,1460.8481,-33.8553
dileoto99c|08|09|PHI,Tony DiLeo,dileoto99c,interim only,59.0,32.0,27.0,1463.7096,1492.0187,28.3091,1555.1096,1459.2343,1519.4994,28.3091
