franchise,team,year,coaches_text,coach,coach_id,wins,losses,games,order
NJNBRK,BRK,2016,"L. Hollins (10-27), T. Brown (11-34)",T. Brown,brownto01c,11,34,45,2
NJNBRK,BRK,2016,"L. Hollins (10-27), T. Brown (11-34)",L. Hollins,hollili01c,10,27,37,1
NJNBRK,BRK,2015,L. Hollins (38-44),L. Hollins,hollili01c,38,44,82,1
NJNBRK,BRK,2014,J. Kidd (44-38),J. Kidd,kiddja01c,44,38,82,1
NJNBRK,BRK,2013,"A. Johnson (14-14), P. Carlesimo (35-19)",P. Carlesimo,carlepj99c,35,19,54,2
NJNBRK,BRK,2013,"A. Johnson (14-14), P. Carlesimo (35-19)",A. Johnson,johnsav01c,14,14,28,1
NJNBRK,NJN,2012,A. Johnson (22-44),A. Johnson,johnsav01c,22,44,66,1
NJNBRK,NJN,2011,A. Johnson (24-58),A. Johnson,johnsav01c,24,58,82,1
NJNBRK,NJN,2010,"L. Frank (0-16), T. Barrise (0-2), K. Vandeweghe (12-52)",K. Vandeweghe,vandeki01c,12,52,64,3
NJNBRK,NJN,2010,"L. Frank (0-16), T. Barrise (0-2), K. Vandeweghe (12-52)",T. Barrise,barrito99c,0,2,2,2
