franchise,team,year,coaches_text,name,wins,losses,total_games,order
BOS,BOS,2015,B. Stevens (40-42),B. Stevens,40,42,82,1
BOS,BOS,2014,B. Stevens (25-57),B. Stevens,25,57,82,1
BOS,BOS,2013,D. Rivers (41-40),D. Rivers,41,40,81,1
BOS,BOS,2012,D. Rivers (39-27),D. Rivers,39,27,66,1
BOS,BOS,2011,D. Rivers (56-26),D. Rivers,56,26,82,1
BOS,BOS,2010,D. Rivers (50-32),D. Rivers,50,32,82,1
BOS,BOS,2009,D. Rivers (62-20),D. Rivers,62,20,82,1
BOS,BOS,2008,D. Rivers (66-16),D. Rivers,66,16,82,1
BOS,BOS,2007,D. Rivers (24-58),D. Rivers,24,58,82,1
BOS,BOS,2006,D. Rivers (33-49),D. Rivers,33,49,82,1
BOS,BOS,2005,D. Rivers (45-37),D. Rivers,45,37,82,1
BOS,BOS,2004,"J. O'Brien (22-24), J. Carroll (14-22)",J. Carroll,14,22,36,2
BOS,BOS,2004,"J. O'Brien (22-24), J. Carroll (14-22)",J. O'Brien,22,24,46,1
BOS,BOS,2003,J. O'Brien (44-38),J. O'Brien,44,38,82,1
BOS,BOS,2002,J. O'Brien (49-33),J. O'Brien,49,33,82,1
BOS,BOS,2001,"R. Pitino (12-22), J. O'Brien (24-24)",J. O'Brien,24,24,48,2
BOS,BOS,2001,"R. Pitino (12-22), J. O'Brien (24-24)",R. Pitino,12,22,34,1
NJNBRK,BRK,2017,K. Atkinson (20-62),K. Atkinson,20,62,82,1
NJNBRK,BRK,2016,"L. Hollins (10-27), T. Brown (11-34)",T. Brown,11,34,45,2
NJNBRK,BRK,2016,"L. Hollins (10-27), T. Brown (11-34)",L. Hollins,10,27,37,1
NJNBRK,BRK,2015,L. Hollins (38-44),L. Hollins,38,44,82,1
